,company_permalink,unique_investors,median_investor_value
629,/organization/ad-tech-media-sales,1,0.0
630,/organization/ad-venture,1,4.0
631,/organization/adadapted,3,2.0
632,/organization/adaffix,1,0.0
633,/organization/adallom,3,9.0
634,/organization/adalta,1,8.0
636,/organization/adama-materials,3,8.0
637,/organization/adamas-pharmaceuticals,4,9.0
638,/organization/adap-tv,4,9.0
639,/organization/adapt,1,9.0
640,/organization/adapt-ly,12,9.0
641,/organization/adapt-technologies,2,9.0
642,/organization/adapteva,2,9.0
643,/organization/adaptics,1,4.0
644,/organization/adaptimmune,13,9.0
645,/organization/adaptis-solutions,1,7.0
646,/organization/adaptive-advertising-inc,1,0.0
647,/organization/adaptive-biotechnologies,1,9.0
648,/organization/adaptive-computing,4,9.0
649,/organization/adaptive-ozone-solutions,1,5.0
650,/organization/adaptive-planning,8,9.0
651,/organization/adaptiveblue,3,9.0
652,/organization/adaptivemobile,4,9.0
653,/organization/adaptivity,3,9.0
654,/organization/adapx,5,9.0
655,/organization/adar-it,1,9.0
656,/organization/adara-media,6,9.0
657,/organization/adarza-biosystems,5,7.0
658,/organization/adatao,3,9.0
659,/organization/adayana,1,8.0
660,/organization/adbm-technologies,2,6.5
661,/organization/adbrain,5,8.0
662,/organization/adbrite,2,9.0
663,/organization/adc-therapeutics,2,8.0
664,/organization/adcade,12,8.0
665,/organization/adcamp,1,8.0
666,/organization/adcentricity,1,8.0
667,/organization/adchemy,6,9.0
668,/organization/adchina,6,9.0
669,/organization/adconion-media-group,3,9.0
670,/organization/addapp,1,3.0
671,/organization/addashop,2,4.0
672,/organization/addepar,10,8.5
673,/organization/addfleet,2,9.0
674,/organization/addiction-campuses-of-america,5,6.5
676,/organization/additech,3,9.0
677,/organization/addresshealth,1,4.0
678,/organization/addsearch,1,4.0
679,/organization/addthis,14,9.0
680,/organization/adduplex,1,4.0
681,/organization/addvocate,11,5.0
682,/organization/addwish,1,9.0
683,/organization/addy,1,7.0
684,/organization/adea,1,6.0
685,/organization/adealio,7,7.5
686,/organization/adecn,5,9.0
687,/organization/adello-group,1,9.0
688,/organization/adelphic-mobile,3,9.0
690,/organization/adenovir-pharma,5,2.0
691,/organization/adents-hti,2,8.0
692,/organization/adenyo,1,8.0
693,/organization/adept-cloud,2,7.5
694,/organization/adespresso,6,8.0
695,/organization/adesso-solutions,1,6.0
696,/organization/adesto-technologies,5,9.0
697,/organization/adexlink,1,4.0
698,/organization/adextent,5,3.0
699,/organization/adeze,2,9.0
700,/organization/adfaces,1,5.0
701,/organization/adfinance,1,0.0
702,/organization/adfinitum-networks,1,9.0
703,/organization/adforrm,1,8.0
704,/organization/adfreeq,2,3.5
